point_id,x_a,y_a,x_b,y_b,lon_a,lat_a,lon_b,lat_b,score,inlier
0,9440.9033203125,66987.5,2258.792236328125,2443.611083984375,42.70817947387695,-73.30416107177734,42.71016311645508,-73.32316589355469,0.06787902861833572,False
1,9440.9033203125,66987.5,2258.792236328125,2443.611083984375,42.70817947387695,-73.30416107177734,42.71016311645508,-73.32316589355469,-0.018087737262248993,False
2,7984.1259765625,65771.8828125,2407.666259765625,2428.07421875,42.74515151977539,-73.31576538085938,42.726192474365234,-73.3224105834961,-0.22587177157402039,False
3,8319.0087890625,68051.90625,2349.780029296875,2232.814208984375,42.74174499511719,-73.2955322265625,42.705650329589844,-73.31285095214844,0.08879420161247253,False
4,8319.0087890625,68051.90625,2349.780029296875,2232.814208984375,42.74174499511719,-73.2955322265625,42.705650329589844,-73.31285095214844,0.12164751440286636,False
5,7558.21875,65147.85546875,2411.248291015625,2344.7939453125,42.755287170410156,-73.32152557373047,42.720680236816406,-73.31832885742188,-0.13871099054813385,False
6,7294.65087890625,65375.921875,2349.780029296875,2232.814208984375,42.76312255859375,-73.31968688964844,42.705650329589844,-73.31285095214844,-0.027909576892852783,False
7,7637.9384765625,66944.34375,2349.780029296875,2232.814208984375,42.75765609741211,-73.3056869506836,42.705650329589844,-73.31285095214844,0.06009477749466896,False
8,7892.46337890625,66472.5625,2429.72412109375,2103.989013671875,42.749454498291016,-73.3096694946289,42.705692291259766,-73.30654907226562,0.08821197599172592,False
9,7091.8642578125,68442.5,2349.780029296875,2232.814208984375,42.776458740234375,-73.29288482666016,42.705650329589844,-73.31285095214844,-0.03326001390814781,False
10,6975.541015625,64966.7734375,2397.67919921875,2286.94775390625,42.770870208740234,-73.323486328125,42.71500778198242,-73.31549835205078,-0.020840683951973915,False
11,6288.9208984375,66104.0,2358.862060546875,2246.9931640625,42.79263687133789,-73.31391906738281,42.70770263671875,-73.31354522705078,-0.027603190392255783,False
12,6661.11279296875,67864.4296875,2349.780029296875,2232.814208984375,42.78683853149414,-73.29822540283203,42.705650329589844,-73.31285095214844,0.0175141841173172,False
13,6564.24609375,67338.203125,2407.666259765625,2428.07421875,42.78817367553711,-73.30290222167969,42.726192474365234,-73.3224105834961,-0.09945327043533325,False
14,5916.0791015625,66946.609375,2258.792236328125,2443.611083984375,42.805015563964844,-73.30675506591797,42.71016311645508,-73.32316589355469,0.014397055841982365,False
15,5455.65283203125,65130.31640625,2281.805908203125,2340.2783203125,42.8131217956543,-73.32301330566406,42.705467224121094,-73.31810760498047,-0.014157266356050968,False
16,5371.4599609375,65365.4609375,2364.271240234375,2245.386962890625,42.8160285949707,-73.32099914550781,42.70820999145508,-73.31346130371094,4.2415182477384406e-11,False
17,11992.994140625,68341.4375,2455.832763671875,1508.492431640625,42.64151382446289,-73.29066467285156,42.666473388671875,-73.2774887084961,-0.13961254060268402,False
18,11993.994140625,68676.4375,1996.9383544921875,1783.679443359375,42.642356872558594,-73.28772735595703,42.63325500488281,-73.29090118408203,-0.24388761818408966,False
19,12185.375,70801.171875,2449.499267578125,1741.9144287109375,42.64261245727539,-73.26900482177734,42.682273864746094,-73.28886413574219,0.40209460258483887,False
20,11471.576171875,69629.8046875,2211.13671875,1789.6788330078125,42.659175872802734,-73.27970886230469,42.65828323364258,-73.29119873046875,0.343098521232605,False
21,11348.9873046875,71527.5546875,2181.213623046875,1500.518798828125,42.667442321777344,-73.26318359375,42.63439178466797,-73.277099609375,0.20718520879745483,False
22,11059.8251953125,70919.8828125,2123.11279296875,1361.7799072265625,42.67380905151367,-73.26868438720703,42.61792755126953,-73.27034759521484,-0.05775656923651695,False
23,10489.3251953125,69338.640625,1920.7823486328125,1705.466064453125,42.685401916503906,-73.28288269042969,42.618980407714844,-73.2870864868164,0.38709408044815063,False
24,9933.5283203125,70643.28125,2212.109619140625,1789.0863037109375,42.704010009765625,-73.27181243896484,42.65835189819336,-73.29116821289062,0.07952498644590378,False
25,9549.2822265625,71919.8046875,2279.47216796875,1358.6405029296875,42.71781921386719,-73.26089477539062,42.635643005371094,-73.27019500732422,0.3653782308101654,False
26,9601.6923828125,69115.4921875,2052.9794921875,1427.29345703125,42.70921325683594,-73.28539276123047,42.614505767822266,-73.2735366821289,5.050704299236486e-11,False
27,11992.822265625,68122.953125,2431.875,2106.376220703125,42.640953063964844,-73.2925796508789,42.70610809326172,-73.3066635131836,-0.46029025316238403,False
28,11971.4638671875,68095.9375,2436.984130859375,1873.4862060546875,42.6414680480957,-73.29283142089844,42.69016647338867,-73.2952880859375,0.3378335237503052,False
29,11075.880859375,65567.3125,1904.848388671875,2087.720458984375,42.659542083740234,-73.31560516357422,42.64419174194336,-73.30575561523438,-0.24703748524188995,False
30,10641.7177734375,64690.8359375,1575.4259033203125,2125.99951171875,42.66922378540039,-73.32359313964844,42.60902786254883,-73.30762481689453,-0.3328462243080139,False
31,10033.916015625,67586.28125,1542.6329345703125,2281.90234375,42.69341278076172,-73.29853057861328,42.61628723144531,-73.31525421142578,-0.23018287122249603,False
32,9549.87109375,65323.9765625,2211.5048828125,1789.7301025390625,42.70091247558594,-73.31871032714844,42.658329010009766,-73.29119873046875,6.484357495395443e-11,False
33,11991.86328125,61806.90625,1689.792724609375,2433.60498046875,42.624515533447266,-73.34815979003906,42.64396667480469,-73.32267761230469,-2.3165061473846436,False
34,11347.4755859375,61292.96484375,1603.2669677734375,2397.162353515625,42.64094924926758,-73.35310363769531,42.63142776489258,-73.32089233398438,-2.2752976417541504,False
35,11347.4755859375,61292.96484375,1603.2669677734375,2397.162353515625,42.64094924926758,-73.35310363769531,42.63142776489258,-73.32089233398438,-2.4269375801086426,False
36,11650.6845703125,64803.390625,1325.0909423828125,2609.50634765625,42.6417350769043,-73.32196044921875,42.61445236206055,-73.331298828125,-1.5822045803070068,False
37,10836.3935546875,63715.8203125,1258.08544921875,2561.412841796875,42.66133499145508,-73.3320541381836,42.603328704833984,-73.32894134521484,-1.7791441679000854,False
38,9608.9306640625,63811.015625,1275.6865234375,2738.7197265625,42.695396423339844,-73.33199310302734,42.617919921875,-73.33763885498047,-1.7102391719818115,False
39,9430.6474609375,64034.5859375,1991.10986328125,2929.3095703125,42.70088195800781,-73.33013916015625,42.71390151977539,-73.34700012207031,-1.7415558099746704,False
40,9218.5205078125,63759.765625,1791.0269775390625,2824.5498046875,42.70602035522461,-73.33269500732422,42.68338394165039,-73.34185028076172,-0.7958886027336121,False
41,9218.5205078125,63759.765625,1791.0269775390625,2824.5498046875,42.70602035522461,-73.33269500732422,42.68338394165039,-73.34185028076172,1.402480354073532e-10,False
42,9102.943359375,62597.83984375,2149.0078125,2726.4833984375,42.70621871948242,-73.34300994873047,42.7176513671875,-73.3370361328125,0.17843002080917358,False
43,8414.9287109375,62621.48828125,1999.6802978515625,3052.546142578125,42.72524642944336,-73.3432388305664,42.72366714477539,-73.35305786132812,0.08806294202804565,False
44,8065.64013671875,63632.90625,2243.90234375,2882.20556640625,42.737457275390625,-73.33454132080078,42.73967742919922,-73.34468841552734,0.17660187184810638,False
45,7879.806640625,61632.7421875,1999.651123046875,3052.32666015625,42.73747253417969,-73.35231018066406,42.72364807128906,-73.35304260253906,0.2963520884513855,False
46,7850.73291015625,61625.27734375,2046.7332763671875,2993.476806640625,42.73825454711914,-73.3523941040039,42.724884033203125,-73.35015106201172,0.07494513690471649,False
47,6746.0634765625,62792.5859375,2075.474365234375,3010.826904296875,42.77168273925781,-73.34278869628906,42.729434967041016,-73.35100555419922,0.15651175379753113,False
48,6746.0634765625,62792.5859375,2075.474365234375,3010.826904296875,42.77168273925781,-73.34278869628906,42.729434967041016,-73.35100555419922,0.14944519102573395,False
49,6625.7412109375,63271.39453125,2047.02294921875,2993.13037109375,42.77621078491211,-73.3386459350586,42.724891662597656,-73.35013580322266,0.2729054093360901,False
50,6743.34228515625,62280.14453125,2034.549072265625,2939.17578125,42.77045822143555,-73.3473129272461,42.719608306884766,-73.34748077392578,0.09035296738147736,False
51,6046.79296875,61736.93359375,2346.141845703125,2669.564453125,42.78828811645508,-73.35255432128906,42.73630142211914,-73.33424377441406,-0.008462265133857727,False
52,6158.8798828125,64228.8203125,2155.542724609375,2707.10888671875,42.7914924621582,-73.33050537109375,42.71702194213867,-73.33609008789062,4.40477654350957e-11,False
53,8806.427734375,59005.48828125,2264.33642578125,3226.7607421875,42.70515823364258,-73.37495422363281,42.76662826538086,-73.36162567138672,-0.023601781576871872,False
54,8773.1123046875,61034.37890625,2264.33642578125,3226.7607421875,42.71129608154297,-73.35702514648438,42.76662826538086,-73.36162567138672,-0.07132818549871445,False
55,8841.908203125,59640.484375,2387.611328125,3064.02001953125,42.705814361572266,-73.36930847167969,42.76921844482422,-73.35362243652344,-0.21541902422904968,False
56,7925.68359375,58405.0234375,2298.766357421875,3199.12841796875,42.727943420410156,-73.3808364868164,42.76862335205078,-73.36026763916016,-0.4095197319984436,False
57,8047.37890625,60654.5390625,2300.887451171875,3448.23583984375,42.7303466796875,-73.36084747314453,42.78668212890625,-73.3725357055664,-0.39148908853530884,False
58,8204.0478515625,61844.6015625,1932.4375,3278.36962890625,42.729068756103516,-73.35022735595703,42.732017517089844,-73.36416625976562,-0.41306784749031067,False
59,7256.94189453125,58717.49609375,2124.198486328125,3280.0478515625,42.747215270996094,-73.37848663330078,42.75426483154297,-73.36425018310547,-0.003217387944459915,False
60,7850.73291015625,61625.27734375,2046.7332763671875,2993.476806640625,42.73825454711914,-73.3523941040039,42.724884033203125,-73.35015106201172,-0.20738370716571808,False
61,7699.9951171875,59730.53515625,2308.8876953125,3495.806396484375,42.737571716308594,-73.3692398071289,42.791011810302734,-73.37488555908203,-0.18036311864852905,False
62,6632.39111328125,59891.671875,2120.48779296875,3007.4580078125,42.7674560546875,-73.36849212646484,42.73438262939453,-73.35083770751953,0.024545172229409218,False
63,6549.4287109375,60044.76171875,1867.43798828125,3017.817138671875,42.77013397216797,-73.3671875,42.70594787597656,-73.35134887695312,-0.5086484551429749,False
64,6787.38525390625,61185.953125,2274.359619140625,3191.47998046875,42.76646423339844,-73.35694885253906,42.765262603759766,-73.35989379882812,-0.16174918413162231,False
65,6047.5146484375,59402.94140625,2120.48779296875,3007.4580078125,42.78236389160156,-73.3731918334961,42.73438262939453,-73.35083770751953,0.0247315876185894,False
66,6299.125,61818.03515625,1780.36279296875,3564.076416015625,42.78153610229492,-73.35167694091797,42.73486328125,-73.37825012207031,0.45833033323287964,False
67,6046.298828125,61706.046875,2073.7958984375,3248.819580078125,42.78822326660156,-73.35282135009766,42.746219635009766,-73.36271667480469,0.26265424489974976,False
68,6143.0283203125,61517.9765625,2120.48779296875,3007.4580078125,42.78507995605469,-73.35442352294922,42.73438262939453,-73.35083770751953,0.1509578377008438,False
69,5608.13623046875,61782.0234375,2243.131591796875,3465.4443359375,42.800498962402344,-73.35243225097656,42.781246185302734,-73.3733901977539,0.16893883049488068,False
70,5515.49951171875,59835.73046875,2356.418212890625,3617.5126953125,42.79814529418945,-73.36969757080078,42.80521774291992,-73.38088989257812,-0.4869341552257538,False
71,4960.490234375,61819.1484375,1729.6104736328125,3293.793701171875,42.81845474243164,-73.3525161743164,42.709716796875,-73.36492919921875,-0.29071271419525146,False
72,5183.17236328125,60476.55859375,2120.48779296875,3007.4580078125,42.80893325805664,-73.36424255371094,42.73438262939453,-73.35083770751953,5.7491233995676794e-11,False
73,11788.8173828125,60123.45703125,1583.273681640625,3602.11865234375,42.62571334838867,-73.3631591796875,42.71481704711914,-73.380126953125,0.07390746474266052,False
