point_id,x_a,y_a,x_b,y_b,lon_a,lat_a,lon_b,lat_b,score,inlier
0,9392.4443359375,63103.5,2054.16357421875,2758.92919921875,42.69953918457031,-73.33837127685547,42.70903396606445,-73.33863067626953,0.25680699944496155,False
1,11931.09375,63336.1015625,1202.4893798828125,2630.484130859375,42.63018798828125,-73.33470153808594,42.60182189941406,-73.33232879638672,0.3780280351638794,False
2,11927.7666015625,63167.89453125,1189.3140869140625,2660.08251953125,42.62984085083008,-73.33618927001953,42.60239791870117,-73.33377838134766,0.23137937486171722,False
3,11442.8037109375,61860.0625,1301.6358642578125,2825.46533203125,42.63979721069336,-73.34803771972656,42.62705993652344,-73.3418960571289,0.24325713515281677,False
4,9146.751953125,59214.91015625,1421.2037353515625,3556.2412109375,42.69629669189453,-73.37287902832031,42.69282531738281,-73.37786102294922,0.21551048755645752,False
5,11713.7236328125,59093.765625,754.2589721679688,3393.60986328125,42.625091552734375,-73.37232208251953,42.604251861572266,-73.3698501586914,0.2679356038570404,False
6,10647.9296875,61043.0625,1266.125244140625,3145.66845703125,42.65959548950195,-73.35575866699219,42.64570236206055,-73.35763549804688,0.23219841718673706,False
7,10706.9580078125,58331.71875,865.8782348632812,3624.457763671875,42.65091323852539,-73.37971496582031,42.633544921875,-73.38123321533203,0.30608946084976196,False
8,11345.029296875,59716.71484375,924.2274169921875,3329.3154296875,42.63690185546875,-73.3670425415039,42.61930465698242,-73.3666763305664,0.21600043773651123,False
9,10915.41015625,61031.28515625,1220.6466064453125,3116.828857421875,42.652183532714844,-73.3556900024414,42.63840866088867,-73.35621643066406,0.29733601212501526,False
10,11877.505859375,60290.17578125,1022.0135498046875,3023.56884765625,42.62370300292969,-73.36163330078125,42.608882904052734,-73.35163116455078,0.2832269072532654,False
11,11747.734375,60381.60546875,980.5111083984375,3153.044921875,42.627525329589844,-73.36090087890625,42.61328125,-73.35800170898438,0.23416270315647125,False
12,10885.6396484375,59514.84375,886.354736328125,3425.077880859375,42.6490592956543,-73.3691177368164,42.621734619140625,-73.37139892578125,0.27189311385154724,False
13,4783.6689453125,50116.328125,970.5424194335938,5074.92822265625,42.793785095214844,-73.45662689208984,42.749324798583984,-73.45313262939453,0.21027415990829468,False
14,5296.6630859375,51933.72265625,1442.5660400390625,4807.646484375,42.784175872802734,-73.4400634765625,42.78487014770508,-73.43983459472656,0.22202883660793304,False
15,7991.92626953125,50562.32421875,730.3328857421875,4880.6455078125,42.705909729003906,-73.45059204101562,42.70752716064453,-73.4434585571289,0.23999695479869843,False
16,7608.66748046875,49807.35546875,641.9121704101562,5031.84814453125,42.71459197998047,-73.45758819580078,42.708106994628906,-73.45098876953125,0.2103545367717743,False
17,6252.81396484375,45524.61328125,349.505126953125,6009.25048828125,42.7412223815918,-73.4968490600586,42.744346618652344,-73.49978637695312,0.2456720620393753,False
18,7801.19580078125,48293.42578125,398.6131591796875,5407.9140625,42.70532989501953,-73.47101593017578,42.70683288574219,-73.4697265625,0.38239753246307373,False
19,6138.1552734375,47977.71484375,807.0609741210938,5498.48876953125,42.75071716308594,-73.47490692138672,42.76078796386719,-73.47425079345703,0.25089049339294434,True
20,7769.74365234375,48671.40625,541.3090209960938,5372.19873046875,42.70718002319336,-73.4676513671875,42.72084426879883,-73.46794891357422,0.2904806137084961,False
21,2562.48974609375,46871.76953125,1341.220947265625,5857.642578125,42.8472785949707,-73.48711395263672,42.84878158569336,-73.49219512939453,0.23791562020778656,False
22,3809.264404296875,48762.79296875,1387.0784912109375,5408.5751953125,42.817405700683594,-73.46936798095703,42.82168960571289,-73.46975708007812,0.24432575702667236,False
23,3801.7470703125,48954.9296875,1391.013916015625,5366.9072265625,42.81809997558594,-73.4676513671875,42.81914138793945,-73.46768188476562,0.2051713615655899,False
24,2352.787841796875,48885.2734375,1781.181884765625,5411.220703125,42.85816192626953,-73.46920013427734,42.86765670776367,-73.46989440917969,0.2268960028886795,False
25,4020.998046875,48478.7578125,1322.9288330078125,5417.17236328125,42.81080627441406,-73.47177124023438,42.814857482910156,-73.4701919555664,0.23806416988372803,True
26,1848.63818359375,46760.95703125,1495.0909423828125,5891.931640625,42.866844177246094,-73.48857116699219,42.86915969848633,-73.49391174316406,0.27403348684310913,False
27,3870.947509765625,47701.61328125,1249.0191650390625,5528.228515625,42.81300735473633,-73.47883605957031,42.81428146362305,-73.4757308959961,0.5182046890258789,False
28,1858.7586669921875,48353.3125,1901.2174072265625,5543.4267578125,42.87055206298828,-73.47428131103516,42.89115905761719,-73.47649383544922,0.22184525430202484,False
29,3856.19677734375,48545.77734375,1401.3306884765625,5392.04150390625,42.815555572509766,-73.47127532958984,42.8221549987793,-73.46893310546875,0.2621430456638336,False
30,3067.507080078125,46883.5234375,1340.4014892578125,5746.81298828125,42.83326721191406,-73.48668670654297,42.84067916870117,-73.48665618896484,0.24334760010242462,False
31,3990.3388671875,48462.53125,1323.925537109375,5417.17236328125,42.81161880493164,-73.47193908691406,42.81497573852539,-73.4701919555664,0.20509785413742065,False
32,3323.47607421875,46538.09375,1233.989990234375,5635.90673828125,42.825279235839844,-73.4896240234375,42.8203010559082,-73.48110961914062,0.26678189635276794,False
33,3135.1962890625,47721.02734375,1407.561279296875,5600.2421875,42.833499908447266,-73.47913360595703,42.83789825439453,-73.47933197021484,0.24302218854427338,False
34,2449.016357421875,45571.9375,1430.4896240234375,5963.783203125,42.84716033935547,-73.49886322021484,42.866844177246094,-73.49751281738281,0.24879713356494904,False
35,3948.02734375,48089.95703125,1260.0299072265625,5491.21826171875,42.81184768676758,-73.47530364990234,42.812889099121094,-73.47388458251953,0.5745086073875427,False
