point_id,x_a,y_a,x_b,y_b,lon_a,lat_a,lon_b,lat_b,score,inlier
0,3715.58251953125,49676.49609375,1734.932373046875,1175.3448486328125,42.82231521606445,-73.46124267578125,42.9272575378418,-73.46343231201172,0.12706364691257477,False
1,3312.190673828125,47126.125,976.084716796875,1115.69482421875,42.82707977294922,-73.4843521118164,42.835060119628906,-73.46146392822266,0.1609591841697693,False
2,3227.238525390625,46776.52734375,1483.8934326171875,979.9913330078125,42.828556060791016,-73.487548828125,42.896759033203125,-73.45698547363281,-0.07643896341323853,False
3,3036.29931640625,50341.23046875,1223.0599365234375,1158.998291015625,42.84284210205078,-73.45573425292969,42.86506652832031,-73.46289825439453,0.1630707085132599,False
4,3092.859375,50336.05078125,876.8145751953125,1103.853759765625,42.84126281738281,-73.45574188232422,42.822998046875,-73.46107482910156,0.31949734687805176,False
5,3021.5244140625,49577.39453125,1070.6068115234375,1596.3485107421875,42.841331481933594,-73.46257781982422,42.8465461730957,-73.47732543945312,0.07542376965284348,False
6,3021.5244140625,49577.39453125,1070.6068115234375,1596.3485107421875,42.841331481933594,-73.46257781982422,42.8465461730957,-73.47732543945312,0.09430249780416489,False
7,3062.6435546875,49870.6640625,846.7528686523438,1658.21875,42.8409309387207,-73.45992279052734,42.8193473815918,-73.4793701171875,-0.19930560886859894,False
8,2631.67626953125,47524.62109375,1039.91162109375,1676.2947998046875,42.84699630737305,-73.48121643066406,42.84281539916992,-73.47996520996094,0.14753574132919312,False
9,2688.236328125,49375.44140625,1235.9879150390625,1646.381591796875,42.85007858276367,-73.464599609375,42.86663818359375,-73.47897338867188,0.0974995419383049,False
10,2002.2452392578125,47498.7265625,873.1607666015625,1886.2755126953125,42.86442565917969,-73.48184967041016,42.82255554199219,-73.48689270019531,0.06897981464862823,False
11,2071.991943359375,47563.828125,1486.0322265625,1615.590087890625,42.862648010253906,-73.4812240600586,42.89701843261719,-73.47795867919922,0.32440853118896484,False
12,1366.9847412109375,50235.2578125,910.078125,1569.0284423828125,42.88890075683594,-73.45774841308594,42.82704162597656,-73.47642517089844,0.31985267996788025,False
13,1366.9847412109375,50235.2578125,1471.755126953125,1857.913330078125,42.88890075683594,-73.45774841308594,42.89528274536133,-73.48595428466797,0.26399192214012146,False
14,1133.7451171875,47874.83984375,895.3117065429688,1003.9944458007812,42.889495849609375,-73.47903442382812,42.82524871826172,-73.45777893066406,0.1705099642276764,False
15,68.7450942993164,49674.546875,1648.6168212890625,1699.3692626953125,42.92353820800781,-73.46359252929688,42.916770935058594,-73.48072814941406,4.688338606229081e-11,False
16,6330.26953125,46938.25,211.7512969970703,2531.72900390625,42.742706298828125,-73.4841079711914,42.74219512939453,-73.50819396972656,-0.21512506902217865,False
17,6188.20556640625,46252.11328125,346.1158447265625,2032.890625,42.74489212036133,-73.4903564453125,42.758522033691406,-73.49172973632812,-0.21302418410778046,False
18,6439.54443359375,46353.390625,318.67156982421875,2261.89599609375,42.738162994384766,-73.48928833007812,42.75518798828125,-73.4992904663086,-0.6743975281715393,False
19,6108.26025390625,44123.3984375,76.52310180664062,2114.577392578125,42.741634368896484,-73.5095443725586,42.725765228271484,-73.49442291259766,-0.5823961496353149,False
20,6453.126953125,46010.19140625,386.0821533203125,2784.94384765625,42.736900329589844,-73.49236297607422,42.76337814331055,-73.51654815673828,-0.34598812460899353,False
21,5860.9755859375,45427.5703125,410.7118225097656,1946.662353515625,42.75187301635742,-73.49797058105469,42.7663688659668,-73.48888397216797,-0.504169225692749,False
22,5212.931640625,44657.640625,371.48089599609375,2551.150146484375,42.7679328918457,-73.50531005859375,42.76160430908203,-73.50883483886719,-0.12429682165384293,False
23,5265.8818359375,44219.6796875,620.9852294921875,2481.82666015625,42.76533508300781,-73.50921630859375,42.79191589355469,-73.50654602050781,-0.6066185235977173,False
24,4584.8671875,45209.33984375,278.3713684082031,2113.9287109375,42.78681945800781,-73.5007553100586,42.75028991699219,-73.4944076538086,-0.24504244327545166,False
25,4546.24462890625,45153.12890625,107.35930633544922,1922.4136962890625,42.787750244140625,-73.50128173828125,42.72951126098633,-73.48808288574219,-0.32406294345855713,False
26,4588.03125,45473.203125,712.6898193359375,1992.4287109375,42.78740310668945,-73.49838256835938,42.80305862426758,-73.49039459228516,-0.5475696325302124,False
27,4295.2421875,44217.1875,783.2326049804688,2050.92431640625,42.79235076904297,-73.5098648071289,42.81163024902344,-73.49232482910156,-0.2045338898897171,False
28,4219.876953125,44033.171875,240.97470092773438,2640.699951171875,42.79397964477539,-73.51156616210938,42.74574661254883,-73.51178741455078,-0.6513537764549255,False
