Longitude,Lattitude,Pixel,Scan
43.6051167,-74.3627974,3600,100
43.602206,-74.3627312,3700,100
43.5992951,-74.3626649,3800,100
43.5963839,-74.3625986,3900,100
43.5934724,-74.3625322,4000,100
43.5905608,-74.3624658,4100,100
43.5876488,-74.3623994,4200,100
43.5847367,-74.3623329,4300,100
43.5818242,-74.3622663,4400,100
43.5789116,-74.3621997,4500,100
43.5759987,-74.3621331,4600,100
43.5730855,-74.3620664,4700,100
43.5701721,-74.3619997,4800,100
43.5672584,-74.361933,4900,100
43.5643445,-74.3618661,5000,100
43.5614304,-74.3617993,5100,100
43.558516,-74.3617324,5200,100
43.5556014,-74.3616655,5300,100
43.5526865,-74.3615985,5400,100
43.5497714,-74.3615314,5500,100
43.546856,-74.3614644,5600,100
43.5439403,-74.3613972,5700,100
43.5410245,-74.3613301,5800,100
43.5381084,-74.3612629,5900,100
43.535192,-74.3611956,6000,100
43.5322754,-74.3611283,6100,100
43.5293585,-74.361061,6200,100
43.5264414,-74.3609936,6300,100
43.523524,-74.3609261,6400,100
43.5206064,-74.3608586,6500,100
43.5176886,-74.3607911,6600,100
43.5147705,-74.3607236,6700,100
43.5118521,-74.3606559,6800,100
43.5089336,-74.3605883,6900,100
43.5060147,-74.3605206,7000,100
43.5030956,-74.3604528,7100,100
43.5001763,-74.360385,7200,100
43.4972567,-74.3603172,7300,100
43.4943369,-74.3602493,7400,100
43.4914168,-74.3601814,7500,100
43.4884965,-74.3601134,7600,100
43.4855759,-74.3600454,7700,100
43.4826551,-74.3599773,7800,100
43.479734,-74.3599092,7900,100
43.4768127,-74.3598411,8000,100
43.4738911,-74.3597729,8100,100
43.4709693,-74.3597046,8200,100
43.4680472,-74.3596363,8300,100
43.4651249,-74.359568,8400,100
43.4622024,-74.3594996,8500,100
43.4592796,-74.3594312,8600,100
43.4563565,-74.3593627,8700,100
43.4534332,-74.3592942,8800,100
43.4505096,-74.3592257,8900,100
43.4475858,-74.359157,9000,100
43.4446618,-74.3590884,9100,100
43.4417375,-74.3590197,9200,100
43.4388129,-74.358951,9300,100
43.4358882,-74.3588822,9400,100
43.4329631,-74.3588133,9500,100
43.4300378,-74.3587445,9600,100
43.4271123,-74.3586756,9700,100
43.4241865,-74.3586066,9800,100
43.4212604,-74.3585376,9900,100
43.4183341,-74.3584685,10000,100
43.4154076,-74.3583994,10100,100
43.4124808,-74.3583303,10200,100
43.4095538,-74.3582611,10300,100
43.4066265,-74.3581918,10400,100
43.403699,-74.3581226,10500,100
43.4007712,-74.3580532,10600,100
43.3978431,-74.3579839,10700,100
43.3949149,-74.3579144,10800,100
43.3919863,-74.357845,10900,100
43.3890575,-74.3577755,11000,100
43.3861285,-74.3577059,11100,100
43.3831992,-74.3576363,11200,100
43.3802697,-74.3575667,11300,100
43.3773399,-74.357497,11400,100
43.3744099,-74.3574272,11500,100
43.3714796,-74.3573575,11600,100
43.3685491,-74.3572876,11700,100
43.3656183,-74.3572178,11800,100
43.3626873,-74.3571478,11900,100
43.3597853,-74.3570786,11999,100
43.7100159,-74.3642539,0,200
43.7071142,-74.3641893,100,200
43.7042122,-74.3641246,200,200
43.70131,-74.3640599,300,200
43.6984076,-74.3639951,400,200
43.6955049,-74.3639303,500,200
43.6926019,-74.3638655,600,200
43.6896988,-74.3638006,700,200
43.6867954,-74.3637356,800,200
43.6838917,-74.3636706,900,200
43.6809878,-74.3636056,1000,200
43.6780836,-74.3635405,1100,200
43.6751792,-74.3634754,1200,200
43.6722746,-74.3634103,1300,200
43.6693697,-74.363345,1400,200
43.6664646,-74.3632798,1500,200
43.6635592,-74.3632145,1600,200
43.6606536,-74.3631492,1700,200
43.6577477,-74.3630838,1800,200
43.6548416,-74.3630183,1900,200
43.6519352,-74.3629529,2000,200
43.6490286,-74.3628874,2100,200
43.6461218,-74.3628218,2200,200
43.6432147,-74.3627562,2300,200
43.6403073,-74.3626905,2400,200
43.6373997,-74.3626249,2500,200
43.6344919,-74.3625591,2600,200
43.6315838,-74.3624933,2700,200
43.6286755,-74.3624275,2800,200
43.625767,-74.3623616,2900,200
43.6228581,-74.3622957,3000,200
43.6199491,-74.3622298,3100,200
43.6170398,-74.3621638,3200,200
43.6141302,-74.3620977,3300,200
43.6112204,-74.3620316,3400,200
43.6083104,-74.3619655,3500,200
43.6054001,-74.3618993,3600,200
43.6024896,-74.3618331,3700,200
43.5995788,-74.3617668,3800,200
43.5966678,-74.3617005,3900,200
43.5937565,-74.3616341,4000,200
43.590845,-74.3615677,4100,200
43.5879332,-74.3615013,4200,200
43.5850212,-74.3614348,4300,200
43.582109,-74.3613682,4400,200
43.5791965,-74.3613017,4500,200
43.5762837,-74.361235,4600,200
43.5733707,-74.3611684,4700,200
43.5704575,-74.3611016,4800,200
43.567544,-74.3610349,4900,200
43.5646303,-74.3609681,5000,200
43.5617163,-74.3609012,5100,200
43.5588021,-74.3608343,5200,200
43.5558876,-74.3607674,5300,200
43.5529729,-74.3607004,5400,200
43.5500579,-74.3606334,5500,200
43.5471427,-74.3605663,5600,200
43.5442272,-74.3604992,5700,200
43.5413115,-74.360432,5800,200
43.5383956,-74.3603648,5900,200
43.5354794,-74.3602975,6000,200
43.5325629,-74.3602303,6100,200
43.5296462,-74.3601629,6200,200
43.5267293,-74.3600955,6300,200
43.5238121,-74.3600281,6400,200
43.5208947,-74.3599606,6500,200
43.517977,-74.3598931,6600,200
43.5150591,-74.3598255,6700,200
43.5121409,-74.3597579,6800,200
43.5092225,-74.3596903,6900,200
43.5063038,-74.3596226,7000,200
43.5033849,-74.3595548,7100,200
43.5004657,-74.359487,7200,200
43.4975463,-74.3594192,7300,200
43.4946266,-74.3593513,7400,200
43.4917067,-74.3592834,7500,200
43.4887865,-74.3592154,7600,200
43.4858661,-74.3591474,7700,200
43.4829455,-74.3590793,7800,200
43.4800246,-74.3590112,7900,200
43.4771034,-74.3589431,8000,200
43.474182,-74.3588749,8100,200
43.4712604,-74.3588066,8200,200
43.4683385,-74.3587383,8300,200
43.4654163,-74.35867,8400,200
43.4624939,-74.3586016,8500,200
43.4595713,-74.3585332,8600,200
43.4566484,-74.3584648,8700,200
43.4537253,-74.3583962,8800,200
43.4508019,-74.3583277,8900,200
43.4478782,-74.3582591,9000,200
43.4449544,-74.3581904,9100,200
43.4420302,-74.3581217,9200,200
43.4391059,-74.358053,9300,200
43.4361812,-74.3579842,9400,200
43.4332563,-74.3579154,9500,200
43.4303312,-74.3578465,9600,200
43.4274058,-74.3577776,9700,200
43.4244802,-74.3577086,9800,200
43.4215543,-74.3576396,9900,200
43.4186282,-74.3575706,10000,200
43.4157019,-74.3575015,10100,200
43.4127752,-74.3574323,10200,200
43.4098484,-74.3573632,10300,200
43.4069212,-74.3572939,10400,200
43.4039939,-74.3572246,10500,200
43.4010663,-74.3571553,10600,200
43.3981384,-74.3570859,10700,200
43.3952103,-74.3570165,10800,200
43.3922819,-74.3569471,10900,200
43.3893533,-74.3568776,11000,200
43.3864244,-74.356808,11100,200
43.3834953,-74.3567384,11200,200
43.3805659,-74.3566688,11300,200
43.3776363,-74.3565991,11400,200
43.3747065,-74.3565293,11500,200
43.3717764,-74.3564596,11600,200
43.368846,-74.3563897,11700,200
43.3659154,-74.3563199,11800,200
43.3629845,-74.35625,11900,200
43.3600827,-74.3561807,11999,200
43.7102933,-74.3633557,0,300
43.7073918,-74.3632911,100,300
43.70449,-74.3632264,200,300
43.7015879,-74.3631617,300,300
43.6986857,-74.3630969,400,300
43.6957831,-74.3630321,500,300
43.6928804,-74.3629673,600,300
43.6899774,-74.3629024,700,300
43.6870741,-74.3628374,800,300
43.6841706,-74.3627725,900,300
43.6812669,-74.3627074,1000,300
43.6783629,-74.3626424,1100,300
43.6754586,-74.3625772,1200,300
43.6725542,-74.3625121,1300,300
43.6696494,-74.3624469,1400,300
43.6667445,-74.3623816,1500,300
43.6638393,-74.3623163,1600,300
43.6609338,-74.362251,1700,300
43.6580281,-74.3621856,1800,300
43.6551222,-74.3621202,1900,300
43.652216,-74.3620547,2000,300
43.6493095,-74.3619892,2100,300
43.6464028,-74.3619237,2200,300
43.6434959,-74.3618581,2300,300
43.6405887,-74.3617924,2400,300
43.6376813,-74.3617267,2500,300
43.6347737,-74.361661,2600,300
43.6318658,-74.3615952,2700,300
43.6289576,-74.3615294,2800,300
43.6260492,-74.3614635,2900,300
43.6231406,-74.3613976,3000,300
43.6202317,-74.3613316,3100,300
43.6173225,-74.3612656,3200,300
43.6144131,-74.3611996,3300,300
43.6115035,-74.3611335,3400,300
43.6085936,-74.3610674,3500,300
43.6056835,-74.3610012,3600,300
43.6027732,-74.360935,3700,300
43.5998626,-74.3608687,3800,300
43.5969517,-74.3608024,3900,300
43.5940406,-74.360736,4000,300
43.5911292,-74.3606696,4100,300
43.5882176,-74.3606032,4200,300
43.5853058,-74.3605367,4300,300
43.5823937,-74.3604701,4400,300
43.5794814,-74.3604036,4500,300
43.5765688,-74.3603369,4600,300
43.573656,-74.3602703,4700,300
43.5707429,-74.3602036,4800,300
43.5678296,-74.3601368,4900,300
43.564916,-74.36007,5000,300
43.5620022,-74.3600031,5100,300
43.5590881,-74.3599363,5200,300
43.5561738,-74.3598693,5300,300
43.5532593,-74.3598023,5400,300
43.5503445,-74.3597353,5500,300
43.5474294,-74.3596682,5600,300
43.5445141,-74.3596011,5700,300
43.5415986,-74.359534,5800,300
43.5386828,-74.3594668,5900,300
43.5357668,-74.3593995,6000,300
43.5328505,-74.3593322,6100,300
43.529934,-74.3592649,6200,300
43.5270172,-74.3591975,6300,300
43.5241002,-74.3591301,6400,300
43.5211829,-74.3590626,6500,300
43.5182654,-74.3589951,6600,300
43.5153476,-74.3589275,6700,300
43.5124296,-74.3588599,6800,300
43.5095114,-74.3587922,6900,300
43.5065929,-74.3587245,7000,300
43.5036741,-74.3586568,7100,300
43.5007551,-74.358589,7200,300
43.4978358,-74.3585212,7300,300
43.4949163,-74.3584533,7400,300
43.4919966,-74.3583854,7500,300
43.4890766,-74.3583174,7600,300
43.4861564,-74.3582494,7700,300
43.4832359,-74.3581813,7800,300
43.4803151,-74.3581132,7900,300
43.4773942,-74.3580451,8000,300
43.4744729,-74.3579769,8100,300
43.4715514,-74.3579087,8200,300
43.4686297,-74.3578404,8300,300
43.4657077,-74.357772,8400,300
43.4627855,-74.3577037,8500,300
43.459863,-74.3576353,8600,300
43.4569403,-74.3575668,8700,300
43.4540173,-74.3574983,8800,300
43.4510941,-74.3574297,8900,300
43.4481707,-74.3573611,9000,300
43.4452469,-74.3572925,9100,300
43.442323,-74.3572238,9200,300
43.4393988,-74.3571551,9300,300
43.4364743,-74.3570863,9400,300
43.4335496,-74.3570175,9500,300
43.4306246,-74.3569486,9600,300
43.4276994,-74.3568797,9700,300
43.424774,-74.3568107,9800,300
43.4218483,-74.3567417,9900,300
43.4189223,-74.3566727,10000,300
43.4159961,-74.3566036,10100,300
43.4130696,-74.3565344,10200,300
43.4101429,-74.3564652,10300,300
43.407216,-74.356396,10400,300
43.4042888,-74.3563267,10500,300
43.4013613,-74.3562574,10600,300
43.3984336,-74.356188,10700,300
43.3955057,-74.3561186,10800,300
43.3925775,-74.3560492,10900,300
43.389649,-74.3559797,11000,300
43.3867203,-74.3559101,11100,300
43.3837914,-74.3558405,11200,300
43.3808622,-74.3557709,11300,300
43.3779328,-74.3557012,11400,300
43.3750031,-74.3556315,11500,300
43.3720731,-74.3555617,11600,300
43.3691429,-74.3554919,11700,300
43.3662125,-74.355422,11800,300
43.3632818,-74.3553521,11900,300
43.3603801,-74.3552828,11999,300
43.7105707,-74.3624575,0,400
43.7076693,-74.3623929,100,400
43.7047677,-74.3623282,200,400
43.7018658,-74.3622635,300,400
43.6989637,-74.3621987,400,400
43.6960614,-74.3621339,500,400
43.6931588,-74.3620691,600,400
43.6902559,-74.3620042,700,400
43.6873528,-74.3619393,800,400
43.6844495,-74.3618743,900,400
43.6815459,-74.3618092,1000,400
43.6786421,-74.3617442,1100,400
43.675738,-74.3616791,1200,400
43.6728337,-74.3616139,1300,400
43.6699292,-74.3615487,1400,400
43.6670244,-74.3614835,1500,400
43.6641193,-74.3614182,1600,400
43.661214,-74.3613528,1700,400
43.6583085,-74.3612875,1800,400
43.6554027,-74.361222,1900,400
43.6524967,-74.3611566,2000,400
43.6495904,-74.3610911,2100,400
43.6466839,-74.3610255,2200,400
43.6437771,-74.3609599,2300,400
43.6408701,-74.3608943,2400,400
43.6379629,-74.3608286,2500,400
43.6350554,-74.3607628,2600,400
43.6321476,-74.3606971,2700,400
43.6292397,-74.3606312,2800,400
43.6263314,-74.3605654,2900,400
43.6234229,-74.3604995,3000,400
43.6205142,-74.3604335,3100,400
43.6176053,-74.3603675,3200,400
43.614696,-74.3603015,3300,400
43.6117866,-74.3602354,3400,400
43.6088769,-74.3601693,3500,400
43.6059669,-74.3601031,3600,400
43.6030567,-74.3600369,3700,400
43.6001463,-74.3599706,3800,400
43.5972356,-74.3599043,3900,400
43.5943246,-74.3598379,4000,400
43.5914135,-74.3597715,4100,400
43.588502,-74.3597051,4200,400
43.5855904,-74.3596386,4300,400
43.5826784,-74.3595721,4400,400
43.5797663,-74.3595055,4500,400
43.5768539,-74.3594389,4600,400
43.5739412,-74.3593722,4700,400
43.5710283,-74.3593055,4800,400
43.5681151,-74.3592387,4900,400
43.5652017,-74.3591719,5000,400
43.5622881,-74.3591051,5100,400
43.5593742,-74.3590382,5200,400
43.5564601,-74.3589713,5300,400
43.5535457,-74.3589043,5400,400
43.550631,-74.3588373,5500,400
43.5477162,-74.3587702,5600,400
43.544801,-74.3587031,5700,400
43.5418857,-74.3586359,5800,400
43.53897,-74.3585687,5900,400
43.5360542,-74.3585015,6000,400
43.5331381,-74.3584342,6100,400
43.5302217,-74.3583668,6200,400
43.5273051,-74.3582995,6300,400
43.5243882,-74.358232,6400,400
43.5214711,-74.3581646,6500,400
43.5185538,-74.358097,6600,400
43.5156362,-74.3580295,6700,400
43.5127183,-74.3579619,6800,400
43.5098002,-74.3578942,6900,400
43.5068819,-74.3578265,7000,400
43.5039633,-74.3577588,7100,400
43.5010445,-74.357691,7200,400
43.4981254,-74.3576232,7300,400
43.4952061,-74.3575553,7400,400
43.4922865,-74.3574874,7500,400
43.4893667,-74.3574194,7600,400
43.4864466,-74.3573514,7700,400
43.4835263,-74.3572834,7800,400
43.4806057,-74.3572153,7900,400
