Longitude,Lattitude,Pixel,Scan
42.7993758,-73.9204047,0,0
42.796538,-73.9203416,100,0
42.7937,-73.9202785,200,0
42.7908617,-73.9202153,300,0
42.7880231,-73.9201521,400,0
42.7851843,-73.9200888,500,0
42.7823453,-73.9200255,600,0
42.7795061,-73.9199621,700,0
42.7766666,-73.9198987,800,0
42.7738268,-73.9198353,900,0
42.7709868,-73.9197718,1000,0
42.7681466,-73.9197083,1100,0
42.7653062,-73.9196447,1200,0
42.7624654,-73.9195811,1300,0
42.7596245,-73.9195174,1400,0
42.7567833,-73.9194537,1500,0
42.7539419,-73.91939,1600,0
42.7511002,-73.9193262,1700,0
42.7482583,-73.9192623,1800,0
42.7454162,-73.9191985,1900,0
42.7425738,-73.9191345,2000,0
42.7397311,-73.9190706,2100,0
42.7368883,-73.9190066,2200,0
42.7340451,-73.9189425,2300,0
42.7312018,-73.9188784,2400,0
42.7283582,-73.9188143,2500,0
42.7255144,-73.9187501,2600,0
42.7226703,-73.9186859,2700,0
42.719826,-73.9186216,2800,0
42.7169814,-73.9185573,2900,0
42.7141366,-73.9184929,3000,0
42.7112915,-73.9184285,3100,0
42.7084462,-73.9183641,3200,0
42.7056007,-73.9182996,3300,0
42.7027549,-73.9182351,3400,0
42.6999089,-73.9181705,3500,0
42.6970627,-73.9181059,3600,0
42.6942162,-73.9180412,3700,0
42.6913694,-73.9179765,3800,0
42.6885224,-73.9179118,3900,0
42.6856752,-73.917847,4000,0
42.6828278,-73.9177822,4100,0
42.67998,-73.9177173,4200,0
42.6771321,-73.9176524,4300,0
42.6742839,-73.9175874,4400,0
42.6714355,-73.9175224,4500,0
42.6685868,-73.9174573,4600,0
42.6657379,-73.9173922,4700,0
42.6628887,-73.9173271,4800,0
42.6600393,-73.9172619,4900,0
42.6571896,-73.9171967,5000,0
42.6543398,-73.9171314,5100,0
42.6514896,-73.9170661,5200,0
42.6486392,-73.9170007,5300,0
42.6457886,-73.9169353,5400,0
42.6429378,-73.9168699,5500,0
42.6400867,-73.9168044,5600,0
42.6372353,-73.9167388,5700,0
42.6343837,-73.9166733,5800,0
42.6315319,-73.9166076,5900,0
42.6286798,-73.916542,6000,0
42.6258275,-73.9164763,6100,0
42.6229749,-73.9164105,6200,0
42.6201221,-73.9163447,6300,0
42.6172691,-73.9162789,6400,0
